modelled_lob,vendor,analysis_id,in_rollup
S33_FA_Lloyds,verisk,EU_EQ,true
S33_FA_Lloyds,verisk,EU_FL,true
S33_FA_Lloyds,verisk,EU_WS,true
S33_FA_Lloyds,verisk,EU_WS_GCAdj,true
S33_FA_Lloyds,verisk,UK_FL,true
S33_FA_Lloyds,verisk,UK_WSSS,true
S33_FA_Lloyds,verisk,UK_WSSS_GCAdj,true
S33_FA_EU_BE,verisk,EU_EQ,true
S33_FA_EU_BE,verisk,EU_FL,true
S33_FA_EU_BE,verisk,EU_WS,true
S33_FA_EU_BE,verisk,EU_WS_GCAdj,true
HSA_FA_UK,verisk,EU_EQ,true
HSA_FA_UK,verisk,EU_FL,true
HSA_FA_UK,verisk,EU_WS,true
HSA_FA_UK,verisk,EU_WS_GCAdj,true
HSA_FA_EU_FR,verisk,EU_EQ,true
HSA_FA_EU_FR,verisk,EU_FL,true
HSA_FA_EU_FR,verisk,EU_WS,true
HSA_FA_EU_FR,verisk,EU_WS_GCAdj,true
HSA_FA_EU_FR,verisk,UK_FL,true
HSA_FA_EU_FR,verisk,UK_WSSS,true
HSA_FA_EU_FR,verisk,UK_WSSS_GCAdj,true
HIG_FA_GU,verisk,EU_EQ,true
HIG_FA_GU,verisk,EU_FL,true
HIG_FA_GU,verisk,EU_WS,true
HIG_FA_GU,verisk,EU_WS_GCAdj,true
HIG_FA_GU,verisk,UK_FL,true
HIG_FA_GU,verisk,UK_WSSS,true
HIG_FA_GU,verisk,UK_WSSS_GCAdj,true
HSA_FA_EU_ES,verisk,EU_EQ,true
HSA_FA_EU_ES,verisk,EU_FL,true
HSA_FA_EU_ES,verisk,EU_WS,true
HSA_FA_EU_ES,verisk,EU_WS_GCAdj,true
HSA_FA_EU_ES,verisk,UK_FL,true
HSA_FA_EU_ES,verisk,UK_WSSS,true
HSA_FA_EU_ES,verisk,UK_WSSS_GCAdj,true
HSA_FA_EU_PT,verisk,EU_EQ,true
HSA_FA_EU_PT,verisk,EU_WS,true
HSA_FA_EU_PT,verisk,EU_WS_GCAdj,true
HSA_FA_EU_PT,verisk,UK_FL,true
HSA_FA_EU_PT,verisk,UK_WSSS,true
HSA_FA_EU_PT,verisk,UK_WSSS_GCAdj,true
S33_FA_EU_DE,verisk,EU_EQ,true
S33_FA_EU_DE,verisk,EU_FL,true
S33_FA_EU_DE,verisk,EU_WS,true
S33_FA_EU_DE,verisk,EU_WS_GCAdj,true
S33_FA_EU_FR,verisk,EU_EQ,true
S33_FA_EU_FR,verisk,EU_FL,true
S33_FA_EU_FR,verisk,EU_WS,true
S33_FA_EU_FR,verisk,EU_WS_GCAdj,true
S33_FA_EU_ES,verisk,EU_EQ,true
S33_FA_EU_ES,verisk,EU_FL,true
S33_FA_EU_ES,verisk,EU_WS,true
S33_FA_EU_ES,verisk,EU_WS_GCAdj,true
HSA_FA_EU_DE,verisk,EU_EQ,true
HSA_FA_EU_DE,verisk,EU_FL,true
HSA_FA_EU_DE,verisk,EU_WS,true
HSA_FA_EU_DE,verisk,EU_WS_GCAdj,true
HSA_FA_EU_DE,verisk,UK_FL,true
HSA_FA_EU_DE,verisk,UK_WSSS,true
HSA_FA_EU_DE,verisk,UK_WSSS_GCAdj,true
HSA_FA_EU_BE,verisk,EU_EQ,true
HSA_FA_EU_BE,verisk,EU_FL,true
HSA_FA_EU_BE,verisk,EU_WS,true
HSA_FA_EU_BE,verisk,EU_WS_GCAdj,true
HSA_FA_EU_BE,verisk,UK_FL,true
HSA_FA_EU_BE,verisk,UK_WSSS,true
HSA_FA_EU_BE,verisk,UK_WSSS_GCAdj,true
S33_FA_UK,verisk,EU_EQ,true
S33_FA_UK,verisk,EU_FL,true
S33_FA_UK,verisk,EU_WS,true
S33_FA_UK,verisk,EU_WS_GCAdj,true
S33_FA_UK,verisk,UK_FL,true
S33_FA_UK,verisk,UK_WSSS,true
S33_FA_UK,verisk,UK_WSSS_GCAdj,true
HSA_FA_EU_NL,verisk,EU_EQ,true
HSA_FA_EU_NL,verisk,EU_FL,true
HSA_FA_EU_NL,verisk,EU_WS,true
HSA_FA_EU_NL,verisk,EU_WS_GCAdj,true
HSA_FA_EU_NL,verisk,UK_FL,true
HSA_FA_EU_NL,verisk,UK_WSSS,true
HSA_FA_EU_NL,verisk,UK_WSSS_GCAdj,true
HSA_FA_EU_IE,verisk,EU_EQ,true
HSA_FA_EU_IE,verisk,EU_WS,true
HSA_FA_EU_IE,verisk,EU_WS_GCAdj,true
HSA_FA_EU_IE,verisk,UK_FL,true
HSA_FA_EU_IE,verisk,UK_WSSS,true
HSA_FA_EU_IE,verisk,UK_WSSS_GCAdj,true
S33_FA_EU_NL,verisk,EU_EQ,true
S33_FA_EU_NL,verisk,EU_FL,true
S33_FA_EU_NL,verisk,EU_WS,true
S33_FA_EU_NL,verisk,EU_WS_GCAdj,true
HIC_FA_UK,verisk,UK_FL,true
HIC_FA_UK,verisk,UK_WSSS,true
HIC_FA_UK,verisk,UK_WSSS_GCAdj,true
HIC_COMM_UK,risklink,EU FL HD,true
HIC_HH_UK,risklink,GB FL HD,true
HIC_HH_UK,risklink,GB WSSS,true
HSA_COMM_EU_DE,risklink,DE FL,true
HSA_COMM_EU_ES,risklink,EUxGB WS,true
HSA_HH_EU_BE,risklink,BE FL,true
