class,office,office_iso2,forecast_date,factor
COMM,Belgium,BE,2026-01-01,1
COMM,France,FR,2026-01-01,0.989498298
COMM,Germany,DE,2026-01-01,1.121474242
COMM,Ireland,IE,2026-01-01,1.011351118
COMM,Netherlands,NL,2026-01-01,1
COMM,Portugal,PT,2026-01-01,1
COMM,Spain,ES,2026-01-01,0.877735849
FA,Belgium,BE,2026-01-01,1.017508132
FA,France,FR,2026-01-01,0.914690496
FA,Germany,DE,2026-01-01,0.973028935
FA,Ireland,IE,2026-01-01,0.97718021
FA,Netherlands,NL,2026-01-01,1.109179078
FA,Portugal,PT,2026-01-01,0.981756004
FA,Spain,ES,2026-01-01,1.013806333
HH,Belgium,BE,2026-01-01,0.99311024
HH,France,FR,2026-01-01,1.045551368
HH,Germany,DE,2026-01-01,1.010590002
HH,Ireland,IE,2026-01-01,1.521904241
HH,Netherlands,NL,2026-01-01,1.026284002
HH,Portugal,PT,2026-01-01,0.839564376
HH,Spain,ES,2026-01-01,1.033139344
HH,UK,UK,2026-01-01,1.0215
COMM,UK,UK,2026-01-01,1.0625
Pen,Pen,Pen,2026-01-01,0
Cherish,Cherish,Cherish,2026-01-01,0.6
Caravans,Caravans,Caravans,2026-01-01,0.6
COMM,Belgium,BE,2026-07-01,1
COMM,France,FR,2026-07-01,0.967669385
COMM,Germany,DE,2026-07-01,1.419738354
COMM,Ireland,IE,2026-07-01,1.023436634
COMM,Netherlands,NL,2026-07-01,1
COMM,Portugal,PT,2026-07-01,1
COMM,Spain,ES,2026-07-01,0
FA,Belgium,BE,2026-07-01,1.021436977
FA,France,FR,2026-07-01,0.962770101
FA,Germany,DE,2026-07-01,0.980692454
FA,Ireland,IE,2026-07-01,0.996438077
FA,Netherlands,NL,2026-07-01,1.132387864
FA,Portugal,PT,2026-07-01,1.05867086
FA,Spain,ES,2026-07-01,1.008624709
HH,Belgium,BE,2026-07-01,0.976897011
HH,France,FR,2026-07-01,1.093038897
HH,Germany,DE,2026-07-01,1.016579786
HH,Ireland,IE,2026-07-01,2.313073881
HH,Netherlands,NL,2026-07-01,1.038218444
HH,Portugal,PT,2026-07-01,0.737730061
HH,Spain,ES,2026-07-01,1.064511678
HH,UK,UK,2026-07-01,1.043
COMM,UK,UK,2026-07-01,1.125
Pen,Pen,Pen,2026-07-01,1
Cherish,Cherish,Cherish,2026-07-01,1
Caravans,Caravans,Caravans,2026-07-01,1
COMM,Belgium,BE,2026-12-31,1
COMM,France,FR,2026-12-31,0.858784092
COMM,Germany,DE,2026-12-31,1.584805512
COMM,Ireland,IE,2026-12-31,1.040069004
COMM,Netherlands,NL,2026-12-31,1
COMM,Portugal,PT,2026-12-31,1
COMM,Spain,ES,2026-12-31,0
FA,Belgium,BE,2026-12-31,1.030377132
FA,France,FR,2026-12-31,1.091918376
FA,Germany,DE,2026-12-31,0.997108331
FA,Ireland,IE,2026-12-31,1.015617661
FA,Netherlands,NL,2026-12-31,1.183927467
FA,Portugal,PT,2026-12-31,1.22839346
FA,Spain,ES,2026-12-31,1.005128205
HH,Belgium,BE,2026-12-31,0.987199478
HH,France,FR,2026-12-31,1.118675345
HH,Germany,DE,2026-12-31,1.035891196
HH,Ireland,IE,2026-12-31,3.142110444
HH,Netherlands,NL,2026-12-31,1.050153629
HH,Portugal,PT,2026-12-31,0.760630687
HH,Spain,ES,2026-12-31,1.102568066
HH,UK,UK,2026-12-31,1.0645
COMM,UK,UK,2026-12-31,1.1875
Pen,Pen,Pen,2026-12-31,3
Cherish,Cherish,Cherish,2026-12-31,1
Caravans,Caravans,Caravans,2026-12-31,1
