table_catalog,table_schema,table_name,table_type,self_referencing_column_name,reference_generation,user_defined_type_catalog,user_defined_type_schema,user_defined_type_name,is_insertable_into,is_typed,commit_action,TABLE_COMMENT
loader,main,dim_region_perils,BASE TABLE,,,,,,YES,NO,,
loader,main,dim_rl_analysis,BASE TABLE,,,,,,YES,NO,,
loader,main,HiscoRMS_202601_dialsup,BASE TABLE,,,,,,YES,NO,,
loader,main,mts_tbl_ylt_combined_all_factors,BASE TABLE,,,,,,YES,NO,,
loader,main,results,BASE TABLE,,,,,,YES,NO,,
loader,main,stg_rl_ep,BASE TABLE,,,,,,YES,NO,,
loader,main,stg_rl_ylt,BASE TABLE,,,,,,YES,NO,,
loader,main,stg_vk_ep,BASE TABLE,,,,,,YES,NO,,
loader,main,stg_vk_ylt,BASE TABLE,,,,,,YES,NO,,
loader,main,tbl_ep_by_lob,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoAIR_202601_dialsup,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoAIR_202601_domestic_euws_fagross,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoAIR_202601_domestic_euws_fix,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoAIR_202601_domestic_euws_fix_fa_fix,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoAIR_202607_domestic_euws_fagross,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoAIR_202607_domestic_euws_fix,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoAIR_202607_domestic_euws_fix_fa_fix,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoAIR_202701_domestic_euws_fagross,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoAIR_202701_domestic_euws_fix,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoAIR_202701_domestic_euws_fix_fa_fix,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoAIR_202701_euws_fagross,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoRMS_202601_dialsup,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoRMS_202601_fagross,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoRMS_202601_fl,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoRMS_202601_fl_fa_fix,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoRMS_202607_fagross,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoRMS_202607_fl,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoRMS_202607_fl_fa_fix,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoRMS_202701_fagross,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoRMS_202701_fl,BASE TABLE,,,,,,YES,NO,,
loader,marts,HiscoRMS_202701_fl_fa_fix,BASE TABLE,,,,,,YES,NO,,
loader,reference,air_events,BASE TABLE,,,,,,YES,NO,,
loader,reference,blending_factors,BASE TABLE,,,,,,YES,NO,,
loader,reference,cds_region_peril,BASE TABLE,,,,,,YES,NO,,
loader,reference,euws_rate_factors,BASE TABLE,,,,,,YES,NO,,
loader,reference,fineart_gross_to_net_adjustment2,BASE TABLE,,,,,,YES,NO,,
loader,reference,flood_rl22_model_events,BASE TABLE,,,,,,YES,NO,,
loader,reference,forecast_factors,BASE TABLE,,,,,,YES,NO,,
loader,reference,fx_rates,BASE TABLE,,,,,,YES,NO,,
loader,reference,lobs,BASE TABLE,,,,,,YES,NO,,
loader,main,int_vw_analysis_is_valid,VIEW,,,,,,NO,NO,,
loader,main,int_vw_blending_factors_applied,VIEW,,,,,,NO,NO,,
loader,main,int_vw_blending_factors_with_forecast,VIEW,,,,,,NO,NO,,
loader,main,int_vw_blending_factors_with_forecast_ccy,VIEW,,,,,,NO,NO,,
loader,main,int_vw_blending_factors_with_forecast_ccy_ylt_ready,VIEW,,,,,,NO,NO,,
loader,main,int_vw_blending__vendor_proportions_all_rps_pre_factors,VIEW,,,,,,NO,NO,,
loader,main,int_vw_funnel_ylt_combined_ranked,VIEW,,,,,,NO,NO,,
loader,main,int_vw_funnel_ylt_combined_ranked_bucketed,VIEW,,,,,,NO,NO,,
loader,main,int_vw_rl_ylt,VIEW,,,,,,NO,NO,,
loader,main,int_vw_vk_ylt,VIEW,,,,,,NO,NO,,
loader,main,int_vw_ylt_combined_ranked_bucketed_valid,VIEW,,,,,,NO,NO,,
loader,main,mts_vw_ep_combined_all_factors,VIEW,,,,,,NO,NO,,
loader,main,mts_vw_ep_combined_all_factors_by_cds_class_from_cachetbl,VIEW,,,,,,NO,NO,,
loader,main,mts_vw_ep_combined_all_factors_by_lob_from_cachetbl,VIEW,,,,,,NO,NO,,
loader,main,mts_vw_ep_combined_all_factors_copilot,VIEW,,,,,,NO,NO,,
loader,main,mts_vw_ep_combined_all_factors_from_cachetbl,VIEW,,,,,,NO,NO,,
loader,main,mts_vw_ylt_combined_all_factors_long,VIEW,,,,,,NO,NO,,
loader,main,mts_vw_ylt_combined_all_factors_long_from_cachetbl,VIEW,,,,,,NO,NO,,
loader,main,mts_vw_ylt_combined_all_factors_long__aggd_for_cds_from_cachetbl,VIEW,,,,,,NO,NO,,
loader,main,mts_vw_ylt_combined_with_blending_factors_fx_applied,VIEW,,,,,,NO,NO,,
loader,main,mts_vw_ylt_combined_with_blending_factors_fx_forecasted_euws_applied,VIEW,,,,,,NO,NO,,
loader,main,mts_vw_ylt_combined_with_blending_factors_fx_forecasted_euws_applied_fagross,VIEW,,,,,,NO,NO,,
loader,main,vw_ep,VIEW,,,,,,NO,NO,,
loader,marts,mts_vw_ylt_combined_all_factors_long__aggd_for_cds__fanout_air,VIEW,,,,,,NO,NO,,
loader,marts,mts_vw_ylt_combined_all_factors_long__aggd_for_cds__fanout_rl_nodayid,VIEW,,,,,,NO,NO,,
loader,marts,mts_vw_ylt_combined_all_factors_long__aggd_for_cds__fanout_rl_withdayid,VIEW,,,,,,NO,NO,,
loader,marts,mts_vw_ylt_dialsup__fanout_air,VIEW,,,,,,NO,NO,,
loader,marts,mts_vw_ylt_dialsup__funnel,VIEW,,,,,,NO,NO,,
loader,marts,mtw_vw_ylt_dialsup__fanout_rl_nodayid,VIEW,,,,,,NO,NO,,
loader,marts,mtw_vw_ylt_dialsup__fanout_rl_with_dayid,VIEW,,,,,,NO,NO,,
loader,reference,forecast_factors_cleaned,VIEW,,,,,,NO,NO,,
loader,reference,forecast_factors_with_lobs_to_apply,VIEW,,,,,,NO,NO,,
loader,reference,lobs_with_class_office,VIEW,,,,,,NO,NO,,
loader,verify,check_aal_after_all_factors,VIEW,,,,,,NO,NO,,
loader,verify,check_aal_pre_euws,VIEW,,,,,,NO,NO,,
loader,verify,forecast_factors_missing_lobs,VIEW,,,,,,NO,NO,,
loader,verify,lobs_with_forecast_factors_not_in_reference_lobs,VIEW,,,,,,NO,NO,,
loader,verify,rl_staging_aal_equals_rl_intermediate_aal,VIEW,,,,,,NO,NO,,
loader,verify,verisk_ylt_analysis_not_in_dim_region_perils,VIEW,,,,,,NO,NO,,
loader,verify,vw_ep_blending_factor_id_is_in_blending_factor_table,VIEW,,,,,,NO,NO,,
