peril_id,sub_peril,vendor,weight
198,,risklink,0.75
198,,verisk,0.25
199,,risklink,0.5
199,,verisk,0.5
200,,risklink,0.5
200,,verisk,0.5
201,,risklink,0.5
201,,verisk,0.5
202,,risklink,0.5
202,,verisk,0.5
203,,risklink,0.5
203,,verisk,0.5
204,,risklink,0.5
204,,verisk,0.5
205,,risklink,0.5
205,,verisk,0.5
206,,risklink,1.0
207,,risklink,0.5
207,,verisk,0.5
208,,risklink,0.3
208,,verisk,0.7
209,,risklink,0.5
209,,verisk,0.5
210,,risklink,0.5
210,,verisk,0.5
211,Japan,verisk,1.0
211,xJapan,risklink,0.5
211,xJapan,verisk,0.5
212,,risklink,0.5
212,,verisk,0.5
213,,verisk,1.0
214,,risklink,0.5
214,,verisk,0.5
215,,risklink,0.5
215,,verisk,0.5
216,All Other xDExBE,verisk,1.0
216,Belgium Flood,risklink,1.0
216,Germany Flood,risklink,0.5
216,Germany Flood,verisk,0.5
217,,risklink,1.0
311,,verisk,1.0
320,,verisk,1.0
321,,risklink,0.5
321,,verisk,0.5
322,,risklink,0.5
322,,verisk,0.5
323,,risklink,0.5
323,,verisk,0.5
325,,risklink,0.5
325,,verisk,0.5
